model,split,k,scaling,weights,tie_break,accuracy,macro_precision,macro_recall,macro_f1,ties,seed
manual,val,8,,distance,nearest,0.8499334629951889,0.7972782813345367,0.7793406186710443,0.7875721963753275,103,42
manual,val,8,,uniform,min_class,0.8558706111167981,0.8177713144051277,0.7630018083224286,0.784307637456925,588,42
manual,val,8,,uniform,nearest,0.8527996724332071,0.8024463750975972,0.7803443274362493,0.790307454246501,588,42
manual,val,9,minmax,distance,min_class,0.8262872351315386,0.7645475608186382,0.7366652341952573,0.7485391549107003,0,42
manual,val,9,minmax,distance,nearest,0.8262872351315386,0.7645475608186382,0.7366652341952573,0.7485391549107003,0,42
manual,val,9,minmax,uniform,min_class,0.8329409356126523,0.7765580865830466,0.7398648329650822,0.7548745243556476,0,42
manual,val,9,minmax,uniform,nearest,0.8329409356126523,0.7765580865830466,0.7398648329650822,0.7548745243556476,0,42
manual,val,9,standard,distance,min_class,0.8360118742962432,0.778358241437977,0.7540569801199684,0.764737700588588,2,42
manual,val,9,standard,distance,nearest,0.8360118742962432,0.778358241437977,0.7540569801199684,0.764737700588588,2,42
manual,val,9,standard,uniform,min_class,0.8416419285494933,0.7874930564931495,0.7596639426679803,0.7717417356752774,0,42
manual,val,9,standard,uniform,nearest,0.8416419285494933,0.7874930564931495,0.7596639426679803,0.7717417356752774,0,42
manual,val,9,,distance,min_class,0.8518783908281298,0.8014116160131899,0.778125436132272,0.7885568842207482,37,42
manual,val,9,,distance,nearest,0.8514689323369843,0.8002527711886048,0.7791763853633664,0.7887142610453359,37,42
manual,val,9,,uniform,min_class,0.8542327771522162,0.805955388322877,0.7786460888233606,0.7906748023734923,0,42
manual,val,9,,uniform,nearest,0.8542327771522162,0.805955388322877,0.7786460888233606,0.7906748023734923,0,42
manual,val,11,minmax,distance,min_class,0.8286416214556249,0.7681802934929498,0.7398259984809354,0.7519063997211476,0,42
manual,val,11,minmax,distance,nearest,0.8286416214556249,0.7681802934929498,0.7398259984809354,0.7519063997211476,0,42
manual,val,11,minmax,uniform,min_class,0.8341693110860886,0.7783046049461293,0.7421388813273437,0.7570062284410276,0,42
manual,val,11,minmax,uniform,nearest,0.8341693110860886,0.7783046049461293,0.7421388813273437,0.7570062284410276,0,42
manual,val,11,standard,distance,min_class,0.8377520728836114,0.781037397245291,0.7562273930908818,0.7671212669423425,0,42
manual,val,11,standard,distance,nearest,0.8377520728836114,0.781037397245291,0.7562273930908818,0.7671212669423425,0,42
manual,val,11,standard,uniform,min_class,0.8421537516634251,0.7888850695661438,0.7585335972120697,0.7715446422071777,0,42
manual,val,11,standard,uniform,nearest,0.8421537516634251,0.7888850695661438,0.7585335972120697,0.7715446422071777,0,42
manual,val,11,,distance,min_class,0.8508547446002661,0.7999383723558493,0.7765726325185749,0.7870274978144162,36,42
manual,val,11,,distance,nearest,0.8505476507319071,0.7990603376636856,0.7773975126584873,0.7871671208019841,36,42
manual,val,11,,uniform,min_class,0.8522878493192753,0.8029378254283283,0.7761944497029809,0.7879848505979812,0,42
manual,val,11,,uniform,nearest,0.8522878493192753,0.8029378254283283,0.7761944497029809,0.7879848505979812,0,42
manual,val,12,minmax,distance,min_class,0.8279250690961204,0.7672013759035112,0.7383283519255226,0.7505809749218257,4,42
manual,val,12,minmax,distance,nearest,0.8279250690961204,0.7672013759035112,0.7383283519255226,0.7505809749218257,4,42
manual,val,12,minmax,uniform,min_class,0.8352953219367386,0.7867531839008278,0.7283583106141526,0.7496427448807661,418,42
manual,val,12,minmax,uniform,nearest,0.8355000511823114,0.781006593673706,0.742280113335664,0.7580133277786151,418,42
manual,val,12,standard,distance,min_class,0.8379568021291841,0.7813055284379435,0.756655292106714,0.767490360954711,6,42
manual,val,12,standard,distance,nearest,0.8379568021291841,0.7811857468322865,0.7570953107058123,0.7677156238446766,6,42
manual,val,12,standard,uniform,min_class,0.8430750332685024,0.7969617638733081,0.7446184732157786,0.7647015930238352,425,42
manual,val,12,standard,uniform,nearest,0.8435868563824342,0.7910327722426147,0.7606488531246992,0.7736933613020874,425,42
manual,val,12,,distance,min_class,0.8508547446002661,0.8006704280660122,0.7745192123894498,0.7860663108127617,55,42
manual,val,12,,distance,nearest,0.8503429214863343,0.7991508407017229,0.7759429035780925,0.7863308311099126,55,42
manual,val,12,,uniform,min_class,0.8558706111167981,0.8163827393434526,0.7652019013179198,0.785440555651437,429,42
manual,val,12,,uniform,nearest,0.8529020370559934,0.804440379544453,0.7755713994877187,0.7881795522638424,429,42
manual,val,15,minmax,distance,min_class,0.8292558091923431,0.7694931245341814,0.7392029482656732,0.7519764026239277,0,42
manual,val,15,minmax,distance,nearest,0.8292558091923431,0.7694931245341814,0.7392029482656732,0.7519764026239277,0,42
manual,val,15,minmax,uniform,min_class,0.8363189681646023,0.7822025019621586,0.7436983636662609,0.7593819570098239,0,42
manual,val,15,minmax,uniform,nearest,0.8363189681646023,0.7822025019621586,0.7436983636662609,0.7593819570098239,0,42
manual,val,15,standard,distance,min_class,0.8387757191114751,0.7824160576403574,0.758220215303677,0.7688895183546214,0,42
manual,val,15,standard,distance,nearest,0.8387757191114751,0.7824160576403574,0.758220215303677,0.7688895183546214,0,42
manual,val,15,standard,uniform,min_class,0.8445081379875116,0.7927946713901168,0.7609609971659175,0.7745432605613933,0,42
manual,val,15,standard,uniform,nearest,0.8445081379875116,0.7927946713901168,0.7609609971659175,0.7745432605613933,0,42
manual,val,15,,distance,min_class,0.8527996724332071,0.8038507657462225,0.7765308329107312,0.7885483067273318,28,42
manual,val,15,,distance,nearest,0.8526973078104207,0.8033868418886906,0.7771969206010116,0.7887775373445883,28,42
manual,val,15,,uniform,min_class,0.8538233186610708,0.8074471993439473,0.7730967590679816,0.7877337113412729,0,42
manual,val,15,,uniform,nearest,0.8538233186610708,0.8074471993439473,0.7730967590679816,0.7877337113412729,0,42
manual,val,21,minmax,distance,min_class,0.8308936431569249,0.7718701177287424,0.7420394489268671,0.754681073605826,0,42
manual,val,21,minmax,distance,nearest,0.8308936431569249,0.7718701177287424,0.7420394489268671,0.754681073605826,0,42
manual,val,21,minmax,uniform,min_class,0.8360118742962432,0.7818491925778867,0.7429098422761464,0.7587251200674894,0,42
manual,val,21,minmax,uniform,nearest,0.8360118742962432,0.7818491925778867,0.7429098422761464,0.7587251200674894,0,42
manual,val,21,standard,distance,min_class,0.8431773978912888,0.7887395285188339,0.7652199511485795,0.7756692699995563,3,42
manual,val,21,standard,distance,nearest,0.8431773978912888,0.7887395285188339,0.7652199511485795,0.7756692699995563,3,42
manual,val,21,standard,uniform,min_class,0.8472719828027434,0.797025577557223,0.764830886616894,0.7785873312746624,0,42
manual,val,21,standard,uniform,nearest,0.8472719828027434,0.797025577557223,0.764830886616894,0.7785873312746624,0,42
manual,val,21,,distance,min_class,0.8529020370559934,0.8050416080287643,0.774104670824058,0.7874856368278886,18,42
manual,val,21,,distance,nearest,0.8522878493192753,0.8037431710372879,0.7741410295738559,0.7870172550920465,18,42
manual,val,21,,uniform,min_class,0.8551540587572934,0.8117770641917921,0.7703045337489803,0.7874317623484786,0,42
manual,val,21,,uniform,nearest,0.8551540587572934,0.8117770641917921,0.7703045337489803,0.7874317623484786,0,42
